Restaurant,Rating,Famous_for,Location,Cost,Distance
Global Punjab,4.0,"North Indian, Mughlai, Kebab, Seafood, Biryani, Chinese, Desserts, Beverages","Wakad, Pune","₹1,100 for two",4.1 km
Daily Bites By Nine Square,3.8,"North Indian, Fast Food, Beverages, Italian, Burger, Pizza, French, Desserts","Pimple Saudagar, Pune",₹300 for two,4.3 km
The Bar Tales,4.2,"North Indian, Continental, Mughlai, Italian, Chinese, Biryani, Desserts, Beverages","Bavdhan, Pune","₹1,800 for two",4.8 km
Bombay Culture The Cafe,4.1,"Continental, Chinese, Burger, Pizza, Fast Food, Street Food, Beverages","Wakad, Pune",₹450 for two,4.5 km
Kiro Kitchen And Bar,3.9,"Italian, Seafood, Asian, North Indian, Sushi, Bar Food, Desserts","The Social Street , Pune","₹1,200 for two",4.9 km
Copper Chimney,4.5,"North Indian, Kebab, Biryani, Mughlai, Desserts, Beverages","Phoenix Mall of the Millennium, Pune","₹1,600 for two",4.9 km
Martinz Pizza,4.2,"Pizza, Burger, Pasta, Beverages","Baner, Pune",₹400 for two,2.3 km
Favela,New,"Continental, North Indian, Chinese, Pizza, Fast Food, Biryani, Desserts, Bar Food","Hinjawadi, Pune","₹1,500 for two",4.7 km
Circuit House,4.5,"North Indian, Italian, Continental, Chinese, Mughlai, Desserts, Beverages","Balewadi, Pune","₹1,800 for two",1.4 km
Urban Bistro,4.4,Fast Food,"Aundh, Pune",₹350 for two,3.1 km
I'M Lion,4.1,"Seafood, Maharashtrian","Mahalunge, Pune","₹1,000 for two",1.6 km
The Boho House,3.8,"Continental, Italian, Chinese, Sushi, Sandwich, Burger, Desserts","Baner, Pune","₹1,400 for two",1.6 km
Burger Craft,4.5,"Burger, Fast Food, Desserts, Beverages","Aundh, Pune",₹850 for two,3 km
The Irish House,4.4,"Continental, Mediterranean","Wakad, Pune","₹2,500 for two",4.9 km
Pind Punjab,3.5,"North Indian, Mughlai, Kebab, Biryani, Chinese, Desserts, Beverages","Baner, Pune","₹1,400 for two",556 m
Elephant & Co.,4.5,"Continental, Salad, Asian, Italian, Desserts, Beverages","Baner, Pune","₹1,800 for two",512 m
Hidden Place - The Hang-out,4.4,"Fast Food, Pizza, Continental, Bar Food, Beverages","Balewadi, Pune","₹1,200 for two",1.5 km
Independence Brewing Company,4.5,"American, Continental, Pizza, Fast Food, Salad, Beverages","Balewadi High Street, Baner, Pune","₹2,500 for two",1.4 km
The Urban Foundry,4.5,"Bar Food, North Indian, Pizza, Fast Food, Desserts, Beverages","Balewadi High Street, Baner, Pune","₹2,500 for two",1.2 km
The Soundtrack Cafe,4.3,"Cafe, Coffee, Beverages, Continental, Italian, Fast Food","Pimple Nilakh, Pune",₹850 for two,2.5 km
Rohi Gourmet Bistro,4.3,"Continental, Oriental, Seafood, Desserts","Hinjawadi, Pune","₹1,300 for two",4.8 km
Tatini,4.4,"Bar Food, Continental, Asian, Seafood, Mughlai, Chinese, Desserts, Beverages","Balewadi, Pune","₹1,200 for two",3.4 km
Fatcook,4.3,"Italian, Mexican, Oriental, Pasta, North Indian, Kebab, Desserts, Beverages","Baner, Pune",₹700 for two,1.1 km
