Restaurant,Rating,Famous_for,Location,Cost,Distance
"Frozen Bottle - Milkshakes, Desserts And Ice Cream",3.5,"Shake, Beverages, Desserts, Ice Cream, Waffle, Healthy Food","Baner, Pune",₹300 for two,1.3 km
The Graand Purohit,New,"North Indian, South Indian, Rajasthani","Wakad, Pune","₹1,000 for two",4.5 km
Hotel Madhuban Garden Resto & Bar,4.1,"North Indian, Chinese, Mughlai, Biryani, Seafood, Sichuan, Beverages","Wakad, Pune","₹1,100 for two",4.6 km
P K Biryani House,2.8,"Biryani, North Indian, Mughlai, Seafood","Baner, Pune",₹400 for two,1.4 km
Tirumala Ahar Bhuvan,-,South Indian,"Bavdhan, Pune",₹250 for two,4.9 km
Biryani Gowda,4.3,"Biryani, South Indian","Wakad, Pune",₹500 for two,3.7 km
Alternate Reality Cafe,-,"Cafe, Coffee, Beverages","Pimple Saudagar, Pune",₹350 for two,3.8 km
Fluffy Egg,3.0,"Cafe, Sandwich, Wraps, Burger, Biryani, Beverages","Pimple Saudagar, Pune",₹400 for two,4.7 km
Dossai Express,-,South Indian,"Baner, Pune",₹600 for two,1.4 km
Take A Wok,4.3,"Thai, Indonesian, Asian, Street Food, Sichuan","Aundh, Pune","₹1,000 for two",2.7 km
Urban Pantry,3.9,"Continental, Pizza, Sandwich, Shawarma, Desserts, Shake, Beverages","Pimple Gurav, Pune","₹1,000 for two",4.6 km
Ganesh Bhel,4.0,"Street Food, Fast Food, South Indian","Aundh, Pune",₹200 for two,3 km
Swami's Satvik,3.9,"Maharashtrian, North Indian","Wakad, Pune",₹300 for two,4.7 km
D Palace,4.1,"North Indian, Mughlai, Seafood, Chinese, Continental, Biryani, Desserts, Beverages","Bavdhan, Pune","₹1,000 for two",4.7 km
Real South,3.8,"South Indian, Beverages","Wakad, Pune",₹300 for two,4.6 km
Goodluck Cafe,3.0,"Street Food, Rolls, Fast Food","Bavdhan, Pune",₹500 for two,4.8 km
Dadu's Sweet Emporio,4.1,"Mithai, Street Food, North Indian, Fast Food, Desserts, Beverages","Baner, Pune",₹300 for two,2.7 km
Burger King,3.5,"Burger, Fast Food, Beverages","Hinjawadi, Pune",₹350 for two,4.7 km
KFC,2.8,"Burger, Rolls, Fast Food","Baner, Pune",₹400 for two,738 m
Radha Pure Veg,3.8,"Chinese, South Indian, North Indian, Street Food, Fast Food, Kebab, Ice Cream, Beverages","Wakad, Pune","₹1,200 for two",4.1 km
Konkan Pearl,3.9,"Maharashtrian, Seafood, Biryani, Kebab, Chinese, Mughlai","Baner, Pune","₹1,000 for two",1 km
Pokket Cafe,3.5,"Cafe, Beverages, Sandwich, Burger, Fast Food, Desserts","Pimple Gurav, Pune",₹600 for two,4.4 km
Legally 21 The Resto Lounge,4.0,"North Indian, Chinese, Pizza, Pasta","Wakad, Pune","₹1,400 for two",4.9 km
J's Mozzarlic Cafe,4.0,"Pasta, Pizza, Cafe, Sandwich, Burger, Fast Food, Shake, Beverages","Pimple Saudagar, Pune",₹600 for two,4.5 km
Cafe 24,3.5,"Burger, Sandwich, Momos, Street Food, Coffee, Tea, Beverages","Balewadi, Pune",₹300 for two,1.6 km
Curry Nation,4.0,"North Indian, Chinese, Sichuan, Kebab, Mughlai, Biryani, Seafood, Beverages","Pimple Saudagar, Pune",₹500 for two,4.8 km
Alice In Gelato Land,3.0,"Desserts, Coffee, Ice Cream, Shake","Pimple Nilakh, Pune",₹300 for two,3.6 km
Gogo Momo,-,"Momos, Fast Food, Street Food","Hinjawadi, Pune",₹200 for two,4.9 km
Burgzz & Friezz,-,"Burger, Fast Food","Pimple Gurav, Pune",₹300 for two,4.8 km
Cakeman,3.9,"Bakery, Desserts","Balewadi, Pune",₹400 for two,1.6 km
Thorat's Baarbeque Misal,3.8,Street Food,"Baner, Pune",₹250 for two,1.1 km
The Chow Republic,New,"Chinese, Thai","Wakad, Pune",₹550 for two,4.1 km
Rajwadi Gaurav,3.3,"Rajasthani, North Indian, Chinese","Wakad, Pune",₹400 for two,4.9 km
Cafe Meraki,4.2,"Sandwich, Burger, Pizza, Fast Food, Wraps, Pasta, Beverages","Pimple Gurav, Pune",₹600 for two,4.4 km
Giridhar,3.7,"North Indian, South Indian, Chinese, Sandwich, Fast Food, Beverages","Baner, Pune",₹500 for two,1.7 km
Origin Bistro,4.3,"Continental, Italian, European, Beverages","Pashan, Pune","₹1,400 for two",1.8 km
Desi Dera,-,Biryani,"Baner, Pune",₹300 for two,422 m
Kannu Ki Chai,3.2,"Tea, Coffee, Beverages, Fast Food","Aundh, Pune",₹350 for two,2.8 km
Vrindavan Pure Veg & Fast Food,3.6,"Fast Food, North Indian, South Indian, Sandwich, Street Food, Beverages","Sus, Pune",₹250 for two,3.2 km
SD Cafe,3.8,"Fast Food, Beverages, Pizza, Desserts","Pashan, Pune",₹200 for two,1.8 km
Egg World,3.9,"North Indian, Street Food","Hinjawadi, Pune",₹300 for two,4.7 km
Juice Destination,3.8,"North Indian, Sandwich, Street Food, Juices, Beverages, Shake","Aundh, Pune",₹400 for two,3 km
Dragon,3.1,"Chinese, Seafood, Sichuan","Aundh, Pune",₹500 for two,2.5 km
Sandwich Express,3.1,"Sandwich, Fast Food, Shake, Beverages","Pimple Saudagar, Pune",₹200 for two,4 km
Hotel Shree Vinayaka Pure Veg,3.9,"South Indian, Chinese, North Indian, Sichuan","Pimple Gurav, Pune",₹400 for two,4.4 km
Dakkhan Curry House,3.7,"Maharashtrian, North Indian, Malwani, Seafood","Pashan, Pune","₹1,000 for two",1.7 km
Chinjabi,3.7,"North Indian, Kebab, Seafood, Chinese, Thai, Biryani, Desserts, Beverages","Bavdhan, Pune","₹1,400 for two",4.9 km
Spiceflix Restaurant,3.9,"North Indian, Chinese, South Indian, Biryani, Fast Food, Sandwich, Juices, Beverages","Baner, Pune",₹500 for two,854 m
The Pizza Box,3.7,"Pizza, Fast Food","Bavdhan, Pune",₹300 for two,4.7 km
UFO Fries & Corn,3.8,"Fast Food, Burger, Pizza, Salad, Wraps, Shake, Beverages, Waffle","Aundh, Pune",₹500 for two,2.7 km
The Magic Franky,3.8,"Rolls, Pizza, Burger, Sandwich, Fast Food, Beverages","Wakad, Pune",₹300 for two,4.1 km
Gayatri Bhel,3.7,"North Indian, Street Food, Fast Food, Chinese","Pimple Gurav, Pune",₹300 for two,4.8 km
Indorilaal,3.3,Street Food,"Baner, Pune",₹100 for two,740 m
Sara Snacks,-,Street Food,"Pimple Gurav, Pune",₹200 for two,4.3 km
Tandoor Corner,-,"North Indian, Biryani","Pashan, Pune",₹450 for two,1.8 km
Myfroyoland Premium Frozen Yoghurt,3.9,"Ice Cream, Desserts, Frozen Yogurt","Balewadi High Street, Baner, Pune",₹400 for two,894 m
Sea Spices Family Restro & Bar,3.9,"Seafood, Chinese, Kebab, South Indian, Desserts, Biryani, Beverages","Pimple Saudagar, Pune","₹1,000 for two",4.4 km
Flute,4.0,"Chinese, Continental, North Indian, Sichuan","Wakad, Pune",₹850 for two,4.8 km
Cafe Creamy Nuts,4.0,"Sandwich, Burger, Pizza, Fast Food, Street Food, Desserts, Coffee, Beverages","Pimple Nilakh, Pune",₹300 for two,3.2 km
The Belgian Waffle Co.,3.6,"Waffle, Pancake, Desserts, Ice Cream, Beverages","Pimple Saudagar, Pune",₹400 for two,4.4 km
Taaareef,4.2,"North Indian, Mughlai, Seafood, Biryani, Desserts","Aundh, Pune","₹1,400 for two",3.2 km
Falooda Junction,3.6,"Ice Cream, Desserts","Baner, Pune",₹200 for two,2.5 km
Super Samosas,3.9,Street Food,"Hinjawadi, Pune",₹200 for two,4.4 km
Hotel Akshat,3.1,"Chinese, North Indian, Biryani, Sandwich, Kebab, Street Food, Juices, Beverages","Wakad, Pune",₹700 for two,3.2 km
Momos Junction,3.9,"Momos, Chinese","Wakad, Pune",₹300 for two,4.2 km
Curry Culture,4.2,North Indian,"Pashan, Pune",₹200 for two,2.4 km
Mario Donuts & Waffles,3.4,"Waffle, Pancake, Desserts","Bavdhan, Pune",₹300 for two,5.1 km
Taste Of Continents,3.7,"North Indian, Biryani","Aundh, Pune",₹500 for two,2.7 km
Chocolate Biclate,3.5,"Bakery, Desserts","Pimple Saudagar, Pune",₹300 for two,4 km
Nectar & Nature,3.5,"Juices, Shake, Beverages, Healthy Food, Sandwich, Pizza","Baner, Pune",₹400 for two,825 m
Taste Of Malvan,3.1,"Seafood, North Indian","Hinjawadi, Pune",₹900 for two,4.7 km
The Cafe Connection,3.7,"Pizza, Burger, Rolls, Sandwich, Fast Food, Street Food, Desserts, Coffee","Pimple Nilakh, Pune",₹300 for two,3.2 km
Cafe Eatitude,3.5,"Sandwich, Pizza, Fast Food, Beverages, Shake","Balewadi, Pune",₹300 for two,2.1 km
Bombay Chaap Corner,3.2,"North Indian, Rolls","Pimple Saudagar, Pune",₹450 for two,4.7 km
Varsa,3.9,Maharashtrian,"Pashan, Pune","₹1,000 for two",1.8 km
Lazzetti,3.6,"Shawarma, Kebab, Momos, Chinese, Fast Food","Wakad, Pune",₹400 for two,4.2 km
Oliva Veg,3.9,"North Indian, Italian, Chinese","Bavdhan, Pune","₹1,300 for two",4.8 km
Masters Biryani N Grill,2.9,"Biryani, North Indian, Desserts","Bavdhan, Pune",₹700 for two,4.1 km
Cafe Old Skool,4.1,"Coffee, Fast Food, Sandwich, Beverages","Aundh, Pune",₹600 for two,3.1 km
Hotel Mahadev,2.9,"North Indian, Chinese, Mughlai, Maharashtrian, Kebab, Seafood","Hinjawadi, Pune",₹500 for two,5 km
Amrita Pure Veg,3.7,"North Indian, Fast Food, Chinese, South Indian, Desserts, Beverages","Baner, Pune","₹1,100 for two",620 m
Vardayini Pure Veg,3.8,"South Indian, North Indian, Kebab, Italian, Chinese, Oriental, Street Food, Desserts","Bavdhan, Pune","₹1,000 for two",4.5 km
Saffron Multi-Cuisine & Sea Food Restaurant,4.3,"Chinese, North Indian, Kebab, Seafood, Desserts, Beverages","Pashan, Pune","₹1,200 for two",2.1 km
Shree Ambika,2.8,"North Indian, Chinese, Biryani, Mughlai, Street Food, Ice Cream","Baner, Pune",₹550 for two,791 m
Hotel Jagdamb,3.9,"North Indian, Maharashtrian, Biryani","Wakad, Pune",₹500 for two,4.5 km
Burger Singh - Big Punjabi Burgers,-,"Burger, Momos, Fast Food","Baner, Pune",₹300 for two,931 m
KNS,3.7,"Fast Food, Sandwich, Burger, Pizza, Beverages","Pimple Saudagar, Pune",₹300 for two,4.1 km
